,x8,resid_sm,knn_mean,trend,seasonal,first_mlp_predict,first_lstm_predict
0,239.0,,14.031250000000004,237.625,-8.059027777777779,,
1,258.0,,4.915509259259262,250.875,35.62152777777778,,
2,280.0,-6.329861111111107,-6.329861111111107,264.125,22.204861111111107,276.3546642727322,272.996913380093
3,262.0,34.392361111111114,34.392361111111114,277.375,-49.767361111111114,230.69202786021762,224.70335012012058
4,274.0,-13.315972222222221,-13.315972222222221,295.375,-8.059027777777779,287.28085601536765,282.21187247170343
5,329.0,-12.871527777777779,-12.871527777777779,306.25,35.62152777777778,310.9997912512885,318.5643759833442
6,353.0,9.295138888888893,9.295138888888893,321.5,22.204861111111107,359.4582676357693,358.6326775021023
7,276.0,-22.732638888888886,-22.732638888888886,348.5,-49.767361111111114,298.83030548774536,305.50369744830664
8,382.0,22.18402777777778,22.18402777777778,367.875,-8.059027777777779,363.2357543839349,358.78593934906854
9,437.0,25.00347222222222,25.00347222222222,376.375,35.62152777777778,417.8184562789069,422.4549389945136
10,400.0,-8.454861111111107,-8.454861111111107,386.25,22.204861111111107,394.6638464397854,385.71021313137476
11,297.0,-54.607638888888886,-54.607638888888886,401.375,-49.767361111111114,329.065640979343,333.5978828006321
12,440.0,33.18402777777778,33.18402777777778,414.875,-8.059027777777779,442.7816094292535,433.83050621880426
13,500.0,29.37847222222222,29.37847222222222,435.0,35.62152777777778,493.30291091071234,499.33673010932074
14,445.0,-33.20486111111111,-33.20486111111111,456.0,22.204861111111107,455.52982181972925,448.7406448788113
15,445.0,-33.20486111111111,-33.20486111111111,456.0,22.204861111111107,454.0724991692437,457.55878914727106
16,445.0,-54.31597222222222,-54.31597222222222,507.375,-8.059027777777779,455.52982181972925,448.7406448788113
17,445.0,-54.31597222222222,-54.31597222222222,507.375,-8.059027777777779,454.0724991692437,457.55878914727106
18,413.0,-3.7326388888888857,-3.7326388888888857,466.5,-49.767361111111114,397.46908526950415,402.9602819018894
19,492.0,23.68402777777778,23.68402777777778,476.375,-8.059027777777779,490.02464379204645,495.96621216668024
20,492.0,23.68402777777778,23.68402777777778,476.375,-8.059027777777779,491.7046474880642,489.523205227322
21,492.0,-18.704861111111107,-18.704861111111107,488.5,22.204861111111107,490.02464379204645,495.96621216668024
22,492.0,-18.704861111111107,-18.704861111111107,488.5,22.204861111111107,491.7046474880642,489.523205227322
23,532.0,9.503472222222221,9.503472222222221,486.875,35.62152777777778,521.853422926532,517.9530798064338
24,450.0,15.267361111111114,15.267361111111114,484.5,-49.767361111111114,436.2179663711124,432.10922771030005
25,468.0,-21.56597222222222,-21.56597222222222,497.625,-8.059027777777779,492.35535634888544,499.0901469124688
26,524.0,-29.24652777777778,-29.24652777777778,517.625,35.62152777777778,546.8616224394905,546.7847324477302
27,605.0,62.17013888888889,62.17013888888889,520.625,22.204861111111107,573.8238586849636,571.0237850613064
28,497.0,31.517361111111114,31.517361111111114,515.25,-49.767361111111114,481.3756185107761,469.94854455524023
29,504.0,-28.24652777777778,-28.24652777777778,496.625,35.62152777777778,518.6527854071724,524.574559794532
30,562.0,47.04513888888889,47.04513888888889,492.75,22.204861111111107,566.7310909695095,565.7961201137966
31,454.0,8.767361111111114,8.767361111111114,495.0,-49.767361111111114,457.9673858218723,452.57625728183325
32,457.0,-18.81597222222222,-18.81597222222222,483.875,-8.059027777777779,435.93570793999567,441.17542351616754
33,510.0,6.128472222222221,6.128472222222221,468.25,35.62152777777778,506.56980787383185,501.91001461611853
34,467.0,-27.079861111111107,-27.079861111111107,471.875,22.204861111111107,499.28767532772486,506.75065369076196
35,424.0,-8.857638888888886,-8.857638888888886,482.625,-49.767361111111114,441.63590961032446,436.15436869197424
36,516.0,34.68402777777778,34.68402777777778,489.375,-8.059027777777779,501.43672455681696,506.14260567559137
37,537.0,5.878472222222221,5.878472222222221,495.5,35.62152777777778,532.6977221833336,527.771738158332
38,494.0,-23.704861111111107,-23.704861111111107,495.5,22.204861111111107,487.3840546078152,490.2062286800808
39,494.0,-23.704861111111107,-23.704861111111107,495.5,22.204861111111107,510.5318831337823,517.136504067315
40,494.0,-4.690972222222221,-4.690972222222221,506.75,-8.059027777777779,487.3840546078152,490.2062286800808
41,494.0,-4.690972222222221,-4.690972222222221,506.75,-8.059027777777779,510.5318831337823,517.136504067315
42,446.0,1.0173611111111143,1.0173611111111143,494.75,-49.767361111111114,452.9408040576511,447.2488723331028
43,553.0,-4.496527777777779,-4.496527777777779,521.875,35.62152777777778,561.1361638175117,557.3102848099338
44,574.0,,-7.968749999999998,537.0,22.204861111111107,,
45,487.0,,-2.7233796296296284,552.125,-49.767361111111114,,
46,551.24,,,,,565.2212199634976,563.7610129780239
47,499.63,,,,,510.7500539355808,507.94691997104223
